Level,Date and Time,Source,Event ID,Task Category,
Warning,07-10-2024 12:23,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,07-10-2024 12:23,Microsoft-Windows-Winlogon,7001,-1101,User Logon Notification for Customer Experience Improvement Program
Information,07-10-2024 12:20,Netwtw14,7003,None,"The description for Event ID 7003 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 12:20,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 12:20,Netwtw14,7003,None,"The description for Event ID 7003 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 12:20,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 12:19,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.
Information,07-10-2024 12:19,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\dad\mc-dad.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,07-10-2024 12:19,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.
Information,07-10-2024 12:19,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\dad\mc-dad.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Warning,07-10-2024 12:19,Netwtw14,6062,None,"The description for Event ID 6062 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 12:18,nhi,9007,None,"The driver entered RTD3.
 All the connected devices will be removed from driver's internal state, so it is expected that DeviceDisconnected events will happen."
Information,07-10-2024 12:18,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 12:18,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 12:18,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ?2024?-?10?-?07T06:16:42.345322700Z
Wake Time: ?2024?-?10?-?07T06:48:53.152654600Z

Wake Source: Unknown"
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Power,566,-268,"The system session has transitioned from 62 to 64.

Reason Unknown 

BootId: 98"
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Power,507,-158,"The system is exiting Modern Standby 

Reason: Power Button."
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Power,506,-157,"The system is entering Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Power,566,-268,"The system session has transitioned from 61 to 62.

Reason SxTransition 

BootId: 98"
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Boot,32,-58,The bootmgr spent 0 ms waiting for user input.
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Boot,18,-57,There are 0x1 boot options on this system.
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-Boot,30,-21,The firmware reported boot metrics.
Error,07-10-2024 12:18,Microsoft-Windows-NDIS,10317,PnP,"Miniport Microsoft Wi-Fi Direct Virtual Adapter #2, {14fda119-c976-471e-a905-cf4cce91a52d}, had event Fatal error: The miniport has failed a power transition to operational power"
Information,07-10-2024 12:18,Netwtw14,7018,None,"The description for Event ID 7018 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 12:18,Intel-SST-OED,28,This task logs error codes to system event log.,"Loaded DSP FW library: Libs\dsp_lib_whm_adl_release.bin, status = STATUS_SUCCESS."
Information,07-10-2024 12:18,Intel-SST-OED,28,This task logs error codes to system event log.,"Loaded DSP FW library: Libs\dsp_lib_whm_adl_release.bin, status = STATUS_SUCCESS."
Information,07-10-2024 12:18,Intel-SST-OED,28,This task logs error codes to system event log.,"Loaded DSP FW library: Libs\dsp_lib_intel_wov_adl_release.bin, status = STATUS_SUCCESS."
Information,07-10-2024 12:18,Microsoft-Windows-Kernel-General,1,-5,"The system time has changed to ?2024?-?10?-?07T06:48:50.500000000Z from ?2024?-?10?-?07T06:16:46.975474500Z.
Time Delta: 1923524 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ?2024?-?10?-?07T12:18:50.500000000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information,07-10-2024 11:46,Microsoft-Windows-Kernel-Power,107,-102,The system has resumed from sleep.
Information,07-10-2024 12:18,EventLog,6013,None,The system uptime is 302274 seconds.
Information,07-10-2024 11:46,Microsoft-Windows-Kernel-Power,42,-64,"The system is entering sleep.

Sleep Reason: Application API"
Information,07-10-2024 11:46,nhi,9008,None,"Driver exit RTD3.
 All the connected devices will now cause DeviceConnected events."
Information,07-10-2024 11:46,Microsoft-Windows-Kernel-Power,566,-268,"The system session has transitioned from 60 to 61.

Reason PolicyChange 

BootId: 98"
Information,07-10-2024 11:46,Microsoft-Windows-Kernel-Power,187,-243,User-mode process attempted to change the system state by calling SetSuspendState or SetSystemPowerState APIs.
Information,07-10-2024 11:46,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,07-10-2024 11:46,Microsoft-Windows-Winlogon,7002,-1102,User Logoff Notification for Customer Experience Improvement Program
Information,07-10-2024 11:46,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,07-10-2024 11:46,User32,1074,None,"The process Explorer.EXE has initiated the power off of computer KRAZYPC on behalf of user KRAZYPC\Karthik Sundaram for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Information,07-10-2024 11:37,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.
Information,07-10-2024 11:37,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\dad\mc-dad.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,07-10-2024 11:37,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,07-10-2024 11:37,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,07-10-2024 11:37,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,07-10-2024 11:37,Microsoft-Windows-Kernel-Power,566,-268,"The system session has transitioned from 59 to 60.

Reason PolicyChange 

BootId: 98"
Information,07-10-2024 11:37,Microsoft-Windows-Kernel-Power,507,-158,"The system is exiting Modern Standby 

Reason: Lid."
Information,07-10-2024 11:37,Microsoft-Windows-Kernel-Power,172,-203,"Connectivity state in standby: Connected, Reason: None"
Warning,07-10-2024 11:37,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,07-10-2024 11:37,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information,07-10-2024 11:35,Microsoft-Windows-Kernel-Power,172,-203,"Connectivity state in standby: Disconnected, Reason: Adaptive Connected Standby"
Information,07-10-2024 11:35,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\Karthik Sundaram\AppData\Local\Packages\Microsoft.LockApp_cw5n1h2txyewy\Settings\settings.dat was cleared updating 3 keys and creating 1 modified pages.
Information,07-10-2024 11:35,Microsoft-Windows-Kernel-Power,566,-268,"The system session has transitioned from 58 to 59.

Reason PolicyChange 

BootId: 98"
Warning,07-10-2024 11:35,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,07-10-2024 11:35,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information,07-10-2024 11:35,Microsoft-Windows-Kernel-Power,506,-157,"The system is entering Modern Standby 

Reason: Lid."
Information,07-10-2024 11:35,Microsoft-Windows-Kernel-Power,566,-268,"The system session has transitioned from 57 to 58.

Reason PolicyChange 

BootId: 98"
Information,07-10-2024 11:29,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.
Information,07-10-2024 11:29,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\dad\mc-dad.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Warning,07-10-2024 11:29,Netwtw14,6062,None,"The description for Event ID 6062 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:29,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Warning,07-10-2024 11:27,Microsoft-Windows-DNS-Client,1014,-1014,Name resolution for the name liveupdate01s.asus.com timed out after none of the configured DNS servers responded. Client PID 8908.
Information,07-10-2024 11:26,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.
Warning,07-10-2024 11:26,Netwtw14,6062,None,"The description for Event ID 6062 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:26,Netwtw14,7003,None,"The description for Event ID 7003 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:26,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:26,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Adobe Genuine Software Monitor Service
Service File Name:  ""C:\Program Files (x86)\Common Files\Adobe\AdobeGCClient\AGMService.exe""
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  LocalSystem"
Information,07-10-2024 11:26,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\dad\mc-dad.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,07-10-2024 11:24,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,07-10-2024 11:23,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user KRAZYPC\Karthik Sundaram SID (S-1-5-21-4230852428-3624921412-923642634-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,07-10-2024 11:22,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user KRAZYPC\Karthik Sundaram SID (S-1-5-21-4230852428-3624921412-923642634-1001) from address LocalHost (Using LRPC) running in the application container MicrosoftWindows.Client.WebExperience_524.24900.80.0_x64__cw5n1h2txyewy SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,07-10-2024 11:21,Netwtw14,6062,None,"The description for Event ID 6062 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:21,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:21,Netwtw14,7003,None,"The description for Event ID 7003 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:21,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:21,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:21,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:21,Netwtw14,7021,None,"The description for Event ID 7021 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:21,Microsoft-Windows-Kernel-General,1,-5,"The system time has changed to ?2024?-?10?-?07T05:51:31.147126000Z from ?2024?-?10?-?07T05:51:31.144837200Z.
Time Delta: 2 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 20740).

RTC time: ?2024?-?10?-?07T11:21:31.147126000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information,07-10-2024 11:21,Microsoft-Windows-Kernel-General,24,-11,The time zone information was refreshed with exit reason 0. Current time zone bias is -330.
Information,07-10-2024 11:21,Microsoft-Windows-Kernel-General,1,-5,"The system time has changed to ?2024?-?10?-?07T05:51:31.140294300Z from ?2024?-?10?-?07T05:51:31.139918100Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 20740).

RTC time: ?2024?-?10?-?07T11:21:31.140294300Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information,07-10-2024 11:21,Microsoft-Windows-Kernel-General,24,-11,The time zone information was refreshed with exit reason 0. Current time zone bias is -330.
Information,07-10-2024 11:21,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123) with reference id 1096700200. Current local stratum number is 4."
Information,07-10-2024 11:21,Microsoft-Windows-Kernel-General,1,-5,"The system time has changed to ?2024?-?10?-?07T05:51:31.133654600Z from ?2024?-?10?-?07T05:51:29.110647500Z.
Time Delta: 2023 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 20740).

RTC time: ?2024?-?10?-?07T11:21:31.133654600Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information,07-10-2024 11:21,Microsoft-Windows-Kernel-General,24,-11,The time zone information was refreshed with exit reason 0. Current time zone bias is -330.
Warning,07-10-2024 11:21,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user KRAZYPC\Karthik Sundaram SID (S-1-5-21-4230852428-3624921412-923642634-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,07-10-2024 11:21,Netwtw14,7003,None,"The description for Event ID 7003 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:21,Netwtw14,7003,None,"The description for Event ID 7003 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Information,07-10-2024 11:21,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Information,07-10-2024 11:21,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.
Information,07-10-2024 11:21,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\dad\mc-dad.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,07-10-2024 11:21,Service Control Manager,7040,None,The start type of the McAfee Scheduled Task - (McAfee-Dynamicappdownloader) service was changed from demand start to disabled.
Information,07-10-2024 11:21,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  McAfee Scheduled Task - (McAfee-Dynamicappdownloader)
Service File Name:  ""C:\Program Files\McAfee\wps\1.22.203.1\dad\mc-dad.exe""
Service Type:  user mode service
Service Start Type:  demand start
Service Account:  LocalSystem"
Information,07-10-2024 11:20,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,07-10-2024 11:20,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,07-10-2024 11:20,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,07-10-2024 11:20,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,07-10-2024 11:20,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Warning,07-10-2024 11:20,Netwtw14,6062,None,"The description for Event ID 6062 from source Netwtw14 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\NDMP1
Intel(R) Wi-Fi 6E AX211 160MHz

The message resource is present but the message was not found in the message table
"
Warning,07-10-2024 11:20,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,07-10-2024 11:20,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,07-10-2024 11:20,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,07-10-2024 11:20,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,07-10-2024 11:20,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"Attempted to add URL (http://127.0.0.1:24830:127.0.0.1/) to URL group (0xFF0000062000001F). Status: 0x0. Process Id 0xA49C Executable path \Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_a61e5ab0aed04d3c\ASUSSoftwareManager\AsusSupportService.exe, User KRAZYPC\Karthik Sundaram"
